_id,全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
11,172014,AA0000001071,石川県金沢市,金沢市ものづくり会館,カナザワシモノヅクリカイカン,Kanazawa City Manufacturing Center,ものづくり会館,1306,"","",172014,"",石川県金沢市粟崎町4丁目80番地1,石川県,金沢市,粟崎町4丁目,80番地1,金沢市ものづくり会館,36.62846,136.620258,"","",076-255-1518,"",monozukuri@bz03.plala.or.jp,"","",9200226,7220005001675,住吉工業協同組合,月火水木金土日,09:00,21:00,休館日:年末年始（12月29日～1月3日）,金沢港に近い粟崎町にあるものづくり企業の交流・研修施設です。会議室や研修室のほか、ふれあいサロンや多目的ホール、グラウンドゴルフ場もあり、一般の方も広くご利用できます。（駐車１６１台可）,"","","","","","","","","","",有,"","","","","","",https://www4.city.kanazawa.lg.jp/soshikikarasagasu/shokogyoshinkoka/gyomuannai/1/2/6579.html,https://www4.city.kanazawa.lg.jp/material/images/group/28/syoumen2.jpg,CC BY,シャワー設備あり
12,172014,AA0000000908,石川県金沢市,金沢市女性センター,カナザワシジョセイセンター,Kanazawa City Women's Center,金沢市女性センター,1305,"","",172014,"",石川県金沢市三社町1-44（石川県女性センター内 3階）,石川県,金沢市,三社町,1-44,石川県女性センター3階,36.570577,136.645378,"","",076-223-1265,"","","","",-,4000020172014,金沢市,月火水木金土日,09:00,21:00,休館日:国民の祝日及び12月29日から1月3日,女性の自立と社会参画を支援し、男女共同参画を推進する拠点施設です。,"","","","","","","","","","","","","","","","","",https://www4.city.kanazawa.lg.jp/soshikikarasagasu/kanazawashijoseicenter/gyomuannai/1/1/7165.html,"","",事前登録必要
13,172014,AA0000000902,石川県金沢市,長土塀青少年交流センター,ナガドヘセイショウネンコウリュウセンター,Nagadobe Youth Exchange Center,"",1305,"","",172014,"",石川県金沢市長町3-3-3,石川県,金沢市,長町,3-3-3,"",36.567261,136.645849,"","",076-220-2102,"","","","",-,4000020172014,金沢市,火水木金土日,09:00,21:00,休館日:月曜日（休日の場合は、その日の直後の休日以外の日）、年末年始（12月29日-1月3日）,次代を担う青少年の主体的な学び並びに青少年相互及び青少年と他の世代との交流を促進することを通じて、健全で活力に満ち、創造性豊かな青少年の育成を図るために青少年の活動拠点として設置された施設です。,可,有,無,有,有,有,有,"","","","",有,有,有,"",有,可,https://www4.city.kanazawa.lg.jp/soshikikarasagasu/nagadobeiseishonenkoryucenter/gyomuannai/1/1/7783.html,"","",事前登録必要
14,172014,AA0000000906,石川県金沢市,娚杉少年の森,メオトスギショウネンノモリ,Meotosugi Boy's Forest,"",1152,"","",172014,"",石川県金沢市娚杉町ロ2-3,石川県,金沢市,娚杉町,ロ2-3,"",36.473577,136.733984,"","",076-229-1627,"","","","",-,4000020172014,金沢市,"","","",毎年4月1日から11月30日まで,青少年の皆さんが、豊かな自然の中で大勢の仲間とともに活動できる施設です。野外宿泊等の経験を通じて、創造の喜びや自然の恵みを実感することができます。主体的な活動の中で、連帯感や協調性を養い、忍耐力と指導力を身につけることで、心身ともにたくましく育つことを願ってつくられました。,"","","","","","","","","","","","","","","","","",https://www4.city.kanazawa.lg.jp/soshikikarasagasu/nagadobeiseishonenkoryucenter/gyomuannai/1/1/7784.html,"","",事前に長土塀青少年交流センターまで申し込みが必要、施設の電話番号は管理人在中時のみ利用可能
15,172014,AA0000000907,石川県金沢市,土子原こども野外広場,ツチコハラコドモヤガイヒロバ,Tsuchikohara Children's Outdoor Plaza,"",1152,"","",172014,"",石川県金沢市曲子原ソ13,石川県,金沢市,曲子原,ソ13,"",36.607853,136.766834,"","","","","","","",-,4000020172014,金沢市,"","","",毎年4月1日から11月30日まで,広場でのキャンプや旧小学校校舎での宿泊もできる青少年施設です。小・中学校や青少年団体の野外活動の場として、またはハイキングの基地として利用できます。広いグラウンドや屋根付きの炊事場など、開放的な自然の中で、快適にキャンプを楽しむことができます。,"","","","","","","","","","","","","","","","","",https://www4.city.kanazawa.lg.jp/soshikikarasagasu/nagadobeiseishonenkoryucenter/gyomuannai/1/1/7785.html,"","",事前に長土塀青少年交流センターまで申し込みが必要
17,172014,AA0000000909,石川県金沢市,金沢ボランティア大学校,カナザワボランティアダイガクコウ,KANAZAWA INSTITUTE OF VOLUNTARY SERVICE,金沢ボラ大,1514,"","",172014,"",石川県金沢市彦三町1-15-5,石川県,金沢市,彦三町,1-15-5,中央公民館彦三館１階,36.574714,136.659638,"","",076-233-2456,"",kivs@m2.spacelan.ne.jp,"","",920-0901,5220005007377,公益社団法人金沢ボランティア大学校,火水木金土日,09:00,17:45,休館日:日・月曜日（月曜日が休日の場合はその直後の平日）・祝日、年末年始（１２月２９日～１月３日）,ボランティアに関する基本や幅広い視野を身につけ、福祉・国際・まちづくり等の分野で継続的にボランティアとして活躍できる人材を養成することを目的に開校しています。,"","","","","","","","","","","","","","","","","",https://kivs.localinfo.jp,"","",毎年受講生を募集しています。募集期間は3月～4月初旬です。受講期間は５月～2月です。
18,172014,AA0000000910,石川県金沢市,近江町交流プラザ,オウミチョウコウリュウプラザ,Omicho Exchange Plaza,近江町交流プラザ,1305,"","",172014,"",石川県金沢市青草町88,石川県,金沢市,青草町,88,近江町いちば館3・4階,36.571551,136.656072,"","",076-260-6722,"","","","",-,4000020172014,金沢市,月火木金土日,09:00,21:00,休館日:水曜日（水曜日が休日のときは、次の平日）、年末年始（１２月２９日～１月３日）,まちなかにおける市民の学習の場、親子の集いの場及び食育の推進に関する活動の場として広く市民の利用に供し、多様な世代の交流の促進とまちなかの賑わいを創出するため、平成21年4月に開設された施設です。市民の学習、親子の集い及び食育推進の場として、まなびぃ広場、ちびっこ広場、食育広場があります。,"","","","","","","","","","","","","","","","","",https://www4.city.kanazawa.lg.jp/soshikikarasagasu/omichokoryuplaza/gyomuannai/1/1/7141.html,"","",建物の左右にあるエレベータをご利用ください。右側のエレベータは、午前10時～午後6時の間だけ3階にとまります。来館の際は、公共交通機関のご利用にご協力をお願いします。（お車でお越しの場合は、近江町いちば館駐車場が便利です。尚、駐車料金の割引等はいたしておりませんのでご了承ください。）
19,172014,AA0000000918,石川県金沢市,金沢職人大学校,カナザワショクニンダイガッコウ,"",職人大学校,1514,"","",172014,"",石川県金沢市大和町1-1,石川県,金沢市,大和町,1-1,"",36.568451,136.63884,"","",076-265-8311,"","","","",-,4220005007353,公益社団法人金沢職人大学校,月火水木金,09:00,17:00,祝日除く,金沢に残る伝統的で高度な職人の技の伝承と人材を育成するためのプロの職人を対象にした学校です。,各工房前通路の通行及びトイレ使用可、室内使用不可,無,無,有,スロープ有、エレベータ無、エスカレータ無,無,無,無,無,無,無,無,無,無,否,無,無,http://www.k-syokudai.jp/,"","",""
20,172014,AA0000000911,石川県金沢市,玉川図書館,タマガワトショカン,Tamagawa City Library,玉川図書館,1512,"","",172014,"",石川県金沢市玉川町2-20,石川県,金沢市,玉川町,2-20,"",36.569638,136.651749,"","",076-221-1960,"","","","",-,4000020172014,金沢市,火水木金土日,10:00,19:00,休館日:月曜（祝日は開館）、土曜・日曜・祝日の開館時間：午前10時～午後５時、年末年始（12/29～1/4）、特別整理期間,駐車場22台（内2台が障害者等専用）、地下1階：一般書庫、 1階 ：公開ホール（一般開架図書コーナー、ユースライブラリーコーナー）、休憩ロビー、リスニングコーナー、集会室、 2 階 ：参考資料室、学習室、喫茶室、※近世史料館を併設,可,有,無,有,エレベーター１台有,点字ブロック有,無,可,無,無,有,無,無,無,不可,無,可,https://www.lib.kanazawa.ishikawa.jp/,"","",""
21,172014,AA0000000912,石川県金沢市,玉川こども図書館,タマガワコドモトショカン,Tamagawa Children’s Library,玉川こども図書館,1512,"","",172014,"",石川県金沢市玉川町2-2,石川県,金沢市,玉川町,2-2,"",36.5700731,136.651154,"","",076-262-0415,"","","","",-,4000020172014,金沢市,火水木金土日,10:00,17:00,休館日:月曜（祝日は開館）、年末年始（12/29～1/4）、特別整理期間,駐車場73台（内2台が障害者等専用）、地下1階：駐車場、閉架書庫、 1  階 ：木のひろば、はじめまして絵本の部屋、おはなしの部屋、ラウンジ、事務室、授乳室、テラス、2  階 ：図書コーナー、読書活動室、ボランティア活動室、メディアブース（DVD視聴用）、授乳室、テラス、 3  階 ：図書コーナー、学習コーナー、交流ホール（グループ活動室１、グループ活動室２）、集会室、準備室、テラス,可,有,無,有,エレベーター１台有,点字ブロック有,無,可,無,有,有,バリアフリートイレに設置,１階・２階に有,バリアフリートイレに有,１階ラウンジのみ有,有,可,https://www.lib.kanazawa.ishikawa.jp/,"","",""
22,172014,AA0000000913,石川県金沢市,玉川図書館城北分館,タマガワトショカンジョウホクブンカン,Tamagawa City Library Johoku Branch,城北分館,1512,"","",172014,"",石川県金沢市小坂町西８－１１　城北児童会館内,石川県,金沢市,小坂町,西8-11,城北児童会館内,36.589697,136.671914,"","",076-251-8284,"","","","",-,4000020172014,金沢市,火水木金土日,09:30,18:00,休館日:月曜、祝日（5/5は開館）、年末年始（12/29～1/4）、特別整理期間, 1  階 ：閲覧室,"","","","","","","","","","","","","","","","","",https://www.lib.kanazawa.ishikawa.jp/,"","",""
23,172014,AA0000000914,石川県金沢市,泉野図書館,イズミノトショカン,Izumino City Library,泉野図書館,1512,"","",172014,"",石川県金沢市泉野町4-22-22,石川県,金沢市,泉野町4丁目,22-22,"",36.544169,136.649239,"","",076-280-2345,"","","","",-,4000020172014,金沢市,月水木金土日,10:00,19:00,休館日:火曜（祝日は開館）、土曜・日曜・祝日の開館時間：午前10時～午後５時、年末年始（12/29～1/4）、特別整理期間,駐車場50台（内1台が障害者用）、その他屋外駐車場54台（内1台が障害者用）、地下2階：駐車場、地下1階：児童図書コーナー、メルヘンタワー、カンガルースポット、ファンタジーシアター、児童ＡＶコーナー、キッズスクエア、ブックピア、 1  階 ：一般図書コーナー、ヤング図書コーナー、レファレンスルーム、海外情報コーナー、国連寄託図書コーナー、一般ＡＶコーナー、対面朗読室、 2  階 ：オアシスホール、レクチャールーム、グループ活動室、アートロビー,可,有,無,有,エレベーター１台有,点字ブロック有,無,可,無,有,有,多目的トイレに設置,有,有,１階談話コーナーのみ可,有,可,https://www.lib.kanazawa.ishikawa.jp/,"","",""
24,172014,AA0000000915,石川県金沢市,金沢海みらい図書館,カナザワウミミライトショカン,Kanazawa Umimirai Library,金沢海みらい図書館,1512,"","",172014,"",石川県金沢市寺中町イ1-1,石川県,金沢市,寺中町,イ1-1,"",36.594339,136.604294,"","",076-266-2011,"","","","",-,4000020172014,金沢市,月火木金土日,10:00,19:00,休館日:水曜（祝日は開館）、土曜・日曜・祝日の開館時間：午前10時～午後５時、年末年始（12/29～1/4）、特別整理期間,駐車場100台（内3台が障害者用）、芝生広場、 1  階 ：総合カウンター、児童図書コーナー、交流ホール、集会室、グループ活動室、ギャラリー、 2  階 ：一般図書コーナー、レファレンス、生涯学習コーナー、インターネットコーナー、 3  階 ：地域情報フロア（日本海情報コーナー、ものづくり情報コーナー）　,可,有,無,有,エレベータ２台有（うち１台は事務用）,点字ブロック有,無,可,無,有,有,多目的トイレに設置,１階に有,１階多目的トイレ、２階男子・女子トイレに各１おむつ替え台有,１階ギャラリーのみ可,有,可,https://www.lib.kanazawa.ishikawa.jp/,"","",""
25,172014,AA0000000917,石川県金沢市,近世史料館,キンセイシリョウカン,The archives of modern history records,近世史料館,1512,"","",172014,"",石川県金沢市玉川町2-20,石川県,金沢市,玉川町,2-20,"",36.570041,136.651441,"","",076-221-4750,"","","","",-,4000020172014,金沢市,火水木金土日,10:00,19:00,休館日:月曜（祝日は開館）、土曜・日曜・祝日の開館時間：午前10時～午後５時、年末年始（12/29～1/4）、特別整理期間, 1  階 ：閲覧室、展示室、映像室、書庫、 2  階 ：補修作業室、書庫※玉川図書館に併設,可,有,無,有,無,点字ブロック有,無,可,無,無,有,無,無,無,不可,無,可,https://www2.lib.kanazawa.ishikawa.jp/kinsei/kinsei.htm,"","",""
27,172014,AA0000000840,石川県金沢市,野町公民館,ノマチコウミンカン,Nomachi Community Center ,"",1307,"","",172014,"",石川県金沢市野町３丁目11-１,石川県,金沢市,野町３丁目,11-１,"",36.553143,136.647406,"","",076-241-5971,"","","","",921-8031,"",金沢市野町公民館振興協力会,月火水木金,09:00,17:00,"休館日：土日、祝祭日、振替休日、お盆、年末年始（12月29日～1月3日）、館長が必要と認めた場合は臨時に開館または休館する場合あり
",各地区ごとに設置され、地域における学習の機会と場を提供しています。,可,有,"",有,"","","",可,"",可,有,"","",有,可,"",可,https://nomachi-k.wixsite.com/nomachi,"","",""
28,172014,AA0000000841,石川県金沢市,弥生公民館,ヤヨイコウミンカン,Yayoi Community Center ,"",1307,"","",172014,"",石川県金沢市弥生1-29-13,石川県,金沢市,弥生,1-29-13,"",36.549385,136.644678,"","",076-241-1329,"","","","",-,"",金沢市弥生公民館振興協力会,月火水木金,09:00,17:00,休館日は土日、祝祭日、振替休日、およびお盆期間・年末年始。夜間(19時～21時)と休館日の利用は許可を受けた場合のみ可能。,各地区ごとに設置され、地域における学習の機会と場を提供しています。,可,有,"",有,エレベーター有,"","",可,"",可,"","","","","","",可,https://yayoi-k.com/,"","",""
29,172014,AA0000000842,石川県金沢市,中村町公民館,ナカムラマチコウミンカン,Nakamuramachi Community Center ,"",1307,"","",172014,"",石川県金沢市中村町10-35,石川県,金沢市,中村町,10-35,"",36.559467,136.641945,"","",076-247-4447,"","","","",-,"",金沢市中村町公民館振興協力会,月火水木金,09:00,17:00,休館日:国民の祝日、振替休日、および年末年始（12月29日～１月３日）,各地区ごとに設置され、地域における学習の機会と場を提供しています。,可,"","","",スロープ有,"","",可,"","","","","","",可,"","","","","",""
30,172014,AA0000000843,石川県金沢市,城南公民館,ジョウナンコウミンカン,Jonan Community Center ,"",1307,"","",172014,"",石川県金沢市若草町22-12,石川県,金沢市,若草町,22-12,"",36.541761,136.661158,"","",076-247-7041,"","","","",-,"",金沢市城南公民館振興協力会,月火水木金土日,09:00,21:00,"休館日:第1,3,5日曜日、祝日、振替休日、年末年始（12月29日～１月３日）、館長が必要と認めた休館日",各地区ごとに設置され、地域における学習の機会と場を提供しています。,可,有,"","","","","",可,"",可,"","","","",可,"","",http://jounaninfo.blog.fc2.com/,"","",""
31,172014,AA0000000899,石川県金沢市,扇台公民館,オウギダイコウミンカン,Ogidai Community Center,"",1307,"","",172014,"",石川県金沢市馬替1-29-1,石川県,金沢市,馬替,1-29-1,"",36.5221237,136.624092,"","",076-296-8585,"","","","",-,"",金沢市扇台公民館振興協力会,月火水木金,09:00,17:30,"休館日:国民の祝日、年末年始、館長が必要と認めた場合は臨時に開館または休館する場合あり
申し込みがあった場合には、夜間及び土日も利用可
",各地区ごとに設置され、地域における学習の機会と場を提供しています。,可,"",有,有,"","","",可,"",可,有,"","","",可,"","",http://ougidai.jp/,"","",""
32,172014,AA0000000844,石川県金沢市,新竪町公民館,シンタテマチコウミンカン,Shintatemachi Community Center,"",1307,"","",172014,"",石川県金沢市鱗町62,石川県,金沢市,鱗町,62,"",36.555979,136.656861,"","",076-231-0258,"","","","",-,"",金沢市新竪町公民館振興協力会,月火水木金,09:00,17:00,"休館日：国民の祝日、年末年始（12月29日から1月3日）;館長が必要と認めた場合は臨時に開館または休館する場合あり。
申し込みがあった場合には、夜間及び土日も利用可",各地区ごとに設置され、地域における学習の機会と場を提供しています。,可,"","","","","","",可,"",可,"","","","",可,"","",https://sintate3.wixsite.com/sintate,"","",""
33,172014,AA0000000845,石川県金沢市,菊川町公民館,キクガワチョウコウミンカン,Kikugawacho Community Center ,"",1307,"","",172014,"",石川県金沢市菊川2-3-3,石川県,金沢市,菊川,2-3-3,"",36.551374,136.659961,"","",076-261-1769,"","","","",-,"",金沢市菊川町公民館振興協力会,月火水木金,09:00,17:30,休館日:土日、国民の祝日、振替休日、および年末年始（12月29日～１月３日）※申し込みがあった場合には休日でも開館している,各地区ごとに設置され、地域における学習の機会と場を提供しています。,"","","","","","","",可,"",可,"","","","",可,"","",https://kikugawacho-k.com/,"","",""
34,172014,AA0000000846,石川県金沢市,小立野公民館,コダツノコウミンカン,Kodatsuno Community Center,"",1307,"","",172014,"",石川県金沢市小立野4-7-51,石川県,金沢市,小立野,4-7-51,"",36.550971,136.679032,"","",076-221-0807,"","","","",-,"",金沢市小立野公民館振興協力会,月火水木金土,09:00,17:00,"休館日:土曜午後、日曜、市祭日、国民の祝日、振替休日、およびお盆（8月14～16日）年末年始（12月29日～１月３日）、館長が必要と認めた場合は臨時に開館または休館する場合あり、事前に申し込みがあった場合には木曜と第1,3,5日曜を除き21時まで利用可能。",各地区ごとに設置され、地域における学習の機会と場を提供しています。,"","","","","","","",可,"",可,"","","","",可,"","",http://www.spacelan.ne.jp/~kodatu-k/,"","",""
35,172014,AA0000000847,石川県金沢市,材木公民館,ザイモクコウミンカン,Zaimoku Community Center,"",1307,"","",172014,"",石川県金沢市材木町13-11,石川県,金沢市,材木町,13-11,"",36.566961,136.667532,"","",076-231-3689,"","","","",-,"",金沢市材木公民館振興協力会,月火水木金;第２第４土,09:00,17:00,"休館日：国民の祝日、年末年始（12月29日から1月3日）; 館長が必要と認めた場合は臨時に開館または休館する場合あり
申し込みがあった場合は夜間及び土日も利用可",各地区ごとに設置され、地域における学習の機会と場を提供しています。,"","",有,"","","","",可,"",可,"","","","",可,"",可,http://www.spacelan.ne.jp/~zaimoku-k/,"","",""
